County,Total Births,Female Births,Male Births,Crude Birth Rate,Fertility Rate,Population,Home Births,Mother Age < 15,Mother Age 15-17,Mother Age 18-19,Mother Age 20-24,Mother Age 25-29,Mother Age 30-34,Mother Age 35-39,Mother Age 40-44,Mother Age 45+,White,Black or African American,American Indian or Alaskan Native,Hispanic,Laotion or Hmong,Asian or Pacific Islander,Non-Hispanic Other,Non-Hispanic Two or More Races,Women Age 18-24,Women Age 25+,Mother Education < Highschool,Mother Education Highschool Diploma/GED,Mother Education Some College No Degree,Mother Education Associates Degree,Mother Education Some College/Associates,Mother Education Bachelors Degree,Mother Education Masters Degree,Mother Education Doctorate or Professional Degree
All,60032,29161,30871,10.2,54.2,5892539,1876,19,458,1374,8963,17759,20436,9172,1750,101,42486,5679,510,6951,1221,1346,268,1449,"276,656","2,038,617",5629,14480,9574,6253,15827,15995,5740,1878
Adams,110,44,66,5.2,46.7,21226,6,0,5,5,23,38,31,12,0,0,100,5,5,5,0,5,0,5,491,"7,663",8,41,21,11,32,18,8,0
Ashland,167,80,87,10.4,60.9,16039,5,0,5,5,36,50,57,17,5,0,133,0,17,6,0,0,0,11,694,"5,567",15,43,38,32,70,20,15,5
Barron,440,222,218,9.4,59,46843,20,0,5,10,76,171,118,51,10,5,394,16,5,16,0,5,0,10,"1,523","16,646",68,110,79,78,157,75,23,6
Bayfield,118,58,60,7.1,54.8,16608,6,0,0,5,15,39,47,14,5,0,96,0,11,6,0,0,0,5,446,"6,197",5,23,23,17,40,33,12,5
Brown,2996,1485,1511,11.1,56.6,270036,31,0,28,74,429,931,1049,426,53,6,2053,139,75,484,100,40,18,85,"12,740","90,921",249,704,470,328,798,893,266,70
Buffalo,128,67,61,9.6,60.5,13391,6,0,0,5,27,40,42,15,5,0,124,0,0,5,0,0,0,5,448,"4,753",5,30,23,23,46,35,8,0
Burnett,94,49,45,5.5,44.2,17036,5,0,5,5,14,36,27,10,5,0,83,0,5,5,0,5,0,5,444,"6,292",5,29,20,11,31,19,8,5
Calumet,468,220,248,8.9,49.8,52718,5,0,5,9,45,162,171,65,10,5,400,5,5,39,10,6,0,6,"1,892","18,146",28,90,64,75,139,154,43,13
Chippewa,653,313,340,9.8,58.3,66807,37,0,5,9,92,229,232,77,12,5,618,5,5,10,7,5,0,6,"2,219","22,379",66,151,101,118,219,155,48,12
Clark,566,278,288,16.3,98.7,34691,237,0,5,15,136,172,138,70,28,5,496,0,0,64,0,5,0,5,"1,422","10,567",314,100,46,47,93,50,5,5
Columbia,573,284,289,9.8,58,58193,10,0,0,9,87,174,203,82,17,5,517,5,5,32,5,6,5,9,"2,068","20,397",60,124,93,70,163,171,42,10
Crawford,159,69,90,9.9,68.5,16007,5,0,0,5,32,58,42,18,5,0,152,0,0,7,0,0,0,0,491,"5,723",15,38,31,32,63,29,9,5
Dane,5584,2680,2904,9.8,43.4,568203,80,5,26,77,498,1248,2285,1192,246,11,3900,492,13,608,107,261,42,155,"38,504","186,739",268,828,626,398,1024,1983,1005,448
Dodge,751,355,396,8.5,52.2,88282,10,0,5,10,140,245,239,94,18,5,644,7,5,78,5,5,5,8,"3,005","30,579",55,220,147,94,241,186,40,7
